"Date de signalement","Numéro de Vélo",Localisation
"2023/02/16 00:04:06,548",1234,"Avenue Du Général Eisenhower, 75008 Paris, France"
"2023/02/16 00:29:42,417",57912,"66 Rue Pajol, 75018 Paris, France"
"2023/02/16 07:43:21,827",57148,"10 Avenue De Verdun 93130 Noisy-le-Sec"
"2023/02/16 08:12:51,847",44976,"41 Rue Du Pré-Saint-Gervais, 93500 Pantin, France"
"2023/02/16 08:30:28,611",56876,"88 Rue De Montreuil 94300 Vincennes"
"2023/02/16 10:29:38,007",7084,"3z Avenue De La Porte De La Chapelle, 75018 Paris, France"
"2023/02/16 10:26:56,538",55468,"56 Rue Madeleine Michelis, 92200 Neuilly-sur-Seine, France"
"2023/02/16 11:41:10,780",11990,"35 Rue Jean-Pierre Timbaud, 75011 Paris, France"
"2023/02/16 12:38:31,580",61419,"27 Rue Lamartine 94800 Villejuif"
"2023/02/16 13:41:34,282",37143,"9 Rue Anselme, 93400 Saint-Ouen-sur-Seine, France"
"2023/02/16 13:42:39,429",43241,"31 Rue Anselme, 93400 Saint-Ouen-sur-Seine, France"
"2023/02/16 18:02:08,458",14135,"75 Rue Du Javelot, 75013 Paris, France"
"2023/02/16 19:02:38,719",63323,"79b Rue La Fayette, 75009 Paris, France"
"2023/02/16 19:28:44,289",26019,"35 Rue Clisson, 75013 Paris, France"
"2023/02/16 19:20:57,133",40635,"26 Rue De Cronstadt 75015 Paris"
"2023/02/16 22:22:36,606",44629,"45 Rue Du Chemin Vert 94100 Saint-Maur-des-Fossés"
"2023/02/16 22:51:14,262",58416,"20b Rue Boileau 75016 Paris"
"2023/02/16 22:51:51,966",63098,"20b Rue Boileau 75016 Paris"
"2023/02/16 23:23:19,580",52555,"17 Rue Crillon 75004 Paris"
"2023/02/17 08:26:28,220",50475,"8 Rue Eugène Varlin 75010 Paris"
"2023/02/17 09:42:34,603",38426,"42 Allée Paris-Ivry 75013 Paris"
"2023/02/17 10:30:26,124",60223,"40 Rue De La Rochefoucauld 92100 Boulogne-Billancourt"
"2023/02/17 11:40:13,636",40086,"1 Rue Gustave Le Bon 75014 Paris"
"2023/02/17 12:42:02,527",61376,"4 Ruelle Fraisier, 75012 Paris, France"
"2023/02/17 12:59:40,680",17540,"1 Rue Du Lieutenant Lapeyre 75014 Paris"
"2023/02/17 13:39:54,080",67504,"230 Rue De Belleville 75019 Paris"
"2023/02/17 14:25:02,708",4317,"38 Boulevard Carnot, 75012 Paris, France"
"2023/02/17 14:27:02,034",11507,"Avenue De La Brèche, 94000 Créteil, France"
"2023/02/17 15:05:56,599",51112,"55 Avenue Du Maine 75014 Paris"
"2023/02/17 17:36:04,739",218,"19 Rue Germaine Tailleferre, 75019 Paris, France"
"2023/02/17 17:35:07,444",60223,"26 Rue Bartholdi 92100 Boulogne-Billancourt"
"2023/02/17 17:35:51,120",61436,"26 Rue Bartholdi 92100 Boulogne-Billancourt"
"2023/02/17 17:43:08,664",55094,"43 Rue Hoche, 93500 Pantin, France"
"2023/02/17 17:53:58,414",62181,"74 Boulevard Barbès, 75018 Paris, France"
"2023/02/17 19:26:17,993",62597,"1 Avenue Maximilien Robespierre, 94400 Vitry-sur-Seine, France"
"2023/02/17 20:36:26,550",63783,"86 Rue De Charenton 75012 Paris"
"2023/02/17 21:15:09,674",55191,"4 Rue Vaucanson, 75003 Paris, France"
"2023/02/18 00:01:54,151",58185,"31 Rue Boileau 92120 Montrouge"
"2023/02/18 02:55:57,639",38162,"Esplanade Pierre Vidal-Naquet, 75013 Paris, France"
"2023/02/18 03:01:03,352",8785,"Pont De Tolbiac, 75012 Paris, France"
"2023/02/18 08:02:41,650",58531,"149 Rue Lamarck 75018 Paris"
"2023/02/18 10:59:08,701",61062,"54 Rue Du Dessous Des Berges 75013 Paris"
"2023/02/18 11:57:02,711",62660,"29 Rue Clavel 75019 Paris"
"2023/02/18 12:08:36,608",16325,"50 Rue De Lisbonne, 75008 Paris, France"
"2023/02/18 13:52:35,863",2897,"9 Square Adanson, 75005 Paris, France"
"2023/02/18 14:11:17,042",52776,"40 Rue Cabanis, 75014 Paris, France"
"2023/02/18 14:31:30,285",22094,"Parc Rives De Seine - Georges Pompidou, 75004 Paris, France"
"2023/02/18 14:33:52,374",57375,"4 Boulevard De La Gare, 94470 Boissy-Saint-Léger, France"
"2023/02/18 14:38:17,779",62152,"58 Rue De La Folie-Méricourt, 75011 Paris, France"
"2023/02/18 15:07:51,057",16493,"59 Rue Des Vinaigriers, 75010 Paris, France"
"2023/02/18 15:41:52,936",60549,"145 Rue Du Faubourg Saint-Martin, 75010 Paris, France"
"2023/02/18 17:17:45,191",63341,"20 Rue Eugène Berthoud, 93400 Saint-Ouen-sur-Seine, France"
"2023/02/18 18:38:27,667",40504,"95 Avenue Du Docteur Paul Casalis 94000 Créteil"
"2023/02/18 18:47:40,247",41472,"22 Rue Cépré, 75015 Paris, France"
"2023/02/18 22:09:30,604",60264,"25 Rue Du Petit Musc 75004 Paris"
"2023/02/18 22:34:00,621",63286,"13 Rue Brantôme 75003 Paris"
"2023/02/19 00:29:07,799",62180,"5 Rue Du Chevaleret, 75013 Paris, France"
"2023/02/19 09:25:02,688",14234,"23 Rue Dunois 75013 Paris"
"2023/02/19 10:19:43,509",61062,"54 Rue Du Dessous Des Berges 75013 Paris"
"2023/02/19 10:27:41,994",60398,"68 Rue Dunois 75013 Paris"
"2023/02/19 10:52:17,727",16850,"38 Rue Ernest Renan 92130 Issy-les-Moulineaux"
"2023/02/19 10:55:20,818",63291,"Rue La Boétie 75008 Paris"
"2023/02/19 11:41:01,490",35205,"176 Rue Jean Jaurès 94700 Maisons-Alfort"
"2023/02/19 12:08:31,939",35717,"14 Rue Savier, 92240 Malakoff, France"
"2023/02/19 12:33:38,196",58051,"14 Rue De L'affiche Rouge, 94200 Ivry-sur-Seine, France"
"2023/02/19 12:40:32,577",61097,"9 Passage Des Marais, 75010 Paris, France"
"2023/02/19 14:15:11,196",35612,"6 Rue D'annam, 75020 Paris, France"
"2023/02/19 15:34:51,982",67855,"24 Rue Chapon, 75003 Paris, France"
"2023/02/19 15:46:29,386",13249,"6 Avenue Montaigne 75008 Paris"
"2023/02/19 15:47:39,346",22550,"5 Rue Berteaux-Dumas 92200 Neuilly-sur-Seine"
"2023/02/19 16:49:12,450",57753,"9 Rue Berteaux-Dumas 92200 Neuilly-sur-Seine"
"2023/02/19 17:03:14,511",60366,"27 Rue De Marignan 75008 Paris"
"2023/02/19 17:22:00,566",36155,"10 Rue De La Madone 75018 Paris"
"2023/02/19 17:36:01,215",58436,"208 Rue Édouard Tremblay, 94400 Vitry-sur-Seine, France"
"2023/02/19 17:59:02,405",61403,"19 Rue Paul Bert 75011 Paris"
"2023/02/19 21:24:54,312",60334,"23 Rue Victor Hugo, 93170 Bagnolet, France"
"2023/02/19 21:37:05,665",57606,"143 Rue Léon-Maurice Nordmann, 75013 Paris, France"
"2023/02/19 21:43:23,345",24401,"22 Rue Marcel Binet, 92270 Bois-Colombes, France"
"2023/02/20 00:39:22,381",61068,"6 Rue Rochambeau, 75009 Paris, France"
"2023/02/20 06:04:22,432",52291,"4 Avenue Saint-Joseph, 92600 Asnières-sur-Seine, France"
"2023/02/20 08:13:43,752",55252,"106 Avenue De France 75013 Paris"
"2023/02/20 09:35:30,612",55255,"30 Rue Montrosier, 92200 Neuilly-sur-Seine, France"
"2023/02/20 09:54:31,458",26373,"16 Rue François Coppée, 92240 Malakoff, France"
"2023/02/20 10:25:17,467",56974,"4 Place De Bagatelle, 92200 Neuilly-sur-Seine, France"
"2023/02/20 10:39:09,059",20234,"163 Rue Saint-Honoré 75001 Paris"
"2023/02/20 10:40:53,214",60491,"Rue Windsor, 92200 Neuilly-sur-Seine, France"
"2023/02/20 11:27:24,717",63780,"24 Rue Saint-Guillaume 75007 Paris"
"2023/02/20 12:18:31,324",42690,"13 Rue Yéo Thomas, 75013 Paris, France"
"2023/02/20 14:01:28,057",38986,"31b Rue De Paris, 92110 Clichy, France"
"2023/02/20 14:45:35,362",21370,"21 Rue Saint-Antoine 75004 Paris"
"2023/02/20 14:48:49,456",52389,"100 Chemin De Ceinture Du Lac Inférieur 75116 Paris"
"2023/02/20 15:38:22,829",56428,"72 Rue Pauline Borghèse, 92200 Neuilly-sur-Seine, France"
"2023/02/20 16:33:46,073",19193,"30 Avenue De L'école De Joinville 75012 Paris"
"2023/02/20 17:37:56,658",60155,"19 Rue Du Télégraphe, 75020 Paris, France"
"2023/02/20 18:34:50,457",58691,"13 Rue De La Division Du Général Leclerc, 94250 Gentilly, France"
"2023/02/20 20:13:27,966",36492,"123 Rue De Malabry, 92350 Le Plessis-Robinson, France"
"2023/02/20 20:17:07,348",55008,"123 Rue De Malabry, 92350 Le Plessis-Robinson, France"
"2023/02/20 21:14:10,541",62416,"135 Avenue Galliéni, 93170 Bagnolet, France"
"2023/02/20 21:31:54,496",60334,"23 Rue Victor Hugo, 93170 Bagnolet, France"
"2023/02/20 21:57:31,540",30757,"Gare de Bercy"
"2023/02/20 23:30:31,710",32216,"Rue De Lagny, 75020 Paris, France"
"2023/02/21 08:43:25,144",62849,"17 Rue Vergniaud, 92300 Levallois-Perret, France"
"2023/02/21 10:16:20,442",60892,"8 Rue Julien Lacroix, 75020 Paris, France"
"2023/02/21 10:15:19,168",62684,"61 Rue Henri Barbusse, 92110 Clichy, France"
"2023/02/21 11:50:16,152",16501,"19 Rue La Vacquerie, 75011 Paris, France"
"2023/02/21 11:51:37,196",31523,"26 Rue De Fontarabie, 75020 Paris, France"
"2023/02/21 12:07:33,331",61424,"61 Avenue Du Général De Gaulle, 94000 Créteil, France"
"2023/02/21 12:29:46,577",24444,"14 Rue Marc Bloch, 92110 Clichy, France"
"2023/02/21 12:30:03,026",24444,"14 Rue Marc Bloch, 92110 Clichy, France"
"2023/02/21 13:11:41,139",2934,"28 Boulevard Jules Ferry, 75011 Paris, France"
"2023/02/21 13:12:15,731",51903,"132 Boulevard Richard-Lenoir, 75011 Paris, France"
"2023/02/21 13:18:51,862",63594,"48 Quai De Jemmapes, 75010 Paris, France"
"2023/02/21 13:27:13,396",57188,"39b Rue De La Grange Aux Belles, 75010 Paris, France"
"2023/02/21 13:29:33,279",63591,"18 Rue De La Grange Aux Belles, 75010 Paris, France"
"2023/02/21 15:23:10,481",57202,"165 Avenue De Versailles 75016 Paris"
"2023/02/21 15:24:29,993",60701,"20 Rue Des Grands Pêchers, 93100 Montreuil, France"
"2023/02/21 18:25:21,200",26932,"20 Rue Paul Bert 92130 Issy-les-Moulineaux"
"2023/02/21 18:31:57,307",62876,"4 Boulevard De Reuilly 75012 Paris"
"2023/02/21 18:56:04,170",63291,"47 Boulevard Malesherbes 75008 Paris"
"2023/02/21 19:30:19,800",56637,"6 Rue Du Colisée 75008 Paris"
"2023/02/21 20:01:05,585",56555,"D 7, 92400 Courbevoie, France"
"2023/02/21 20:14:20,421",43241,"7 Rue Du Docteur Bauer, 93400 Saint-Ouen-sur-Seine, France"
"2023/02/21 20:40:45,804",61228,"9 Rue De La Montagne D'aulas 75015 Paris"
"2023/02/21 20:57:13,834",62416,"135 Avenue Galliéni, 93170 Bagnolet, France"
"2023/02/21 21:07:41,583",44842,"57 Avenue Paul Vaillant-Couturier, 94250 Gentilly, France"
"2023/02/21 21:12:23,485",60334,"25 Rue Victor Hugo, 93170 Bagnolet, France"
"2023/02/21 23:22:54,695",36068,"1 Villa Jean Jaurès 92110 Clichy"
"2023/02/22 07:41:45,717",44283,"229 Rue La Fontaine, 94120 Fontenay-sous-Bois, France"
"2023/02/22 08:06:42,530",37503,"8 Boulevard De Bonne Nouvelle 75010 Paris"
"2023/02/22 08:21:13,194",4216,"48 Avenue Raspail 93170 Bagnolet"
"2023/02/22 08:29:33,967",40666,"1 Rue Des Écoles 75005 Paris"
"2023/02/22 08:22:17,879",61163,"39 Rue Beauregard 75002 Paris"
"2023/02/22 09:13:59,196",57193,"Square Sainte-Croix De La Bretonnerie, 75004 Paris, France"
"2023/02/22 09:12:40,574",61825,"9 Boulevard Macdonald 75019 Paris"
"2023/02/22 09:23:38,691",14188,"187 Rue Saint-Denis, 75002 Paris, France"
"2023/02/22 11:32:09,835",42534,"20 Avenue Bosquet, 75007 Paris, France"
"2023/02/22 11:47:54,198",24401,"327 Avenue D'argenteuil, 92270 Bois-Colombes, France"
"2023/02/22 11:55:13,055",63314,"1 Rue Amélie, 92230 Gennevilliers, France"
"2023/02/22 12:14:51,752",9404,"11 Quai De Conti, 75001 Paris, France"
"2023/02/22 14:38:52,856",55614,"7 Rue Baudelique 75018 Paris"
"2023/02/22 14:46:39,031",10349,"10 Allée Du Chef D'escadron De Guillebon, 75014 Paris, France"
"2023/02/22 17:15:30,349",38426,"42 Allée Paris-Ivry, 75013 Paris, France"
"2023/02/22 17:45:21,024",56203,"4 Rue Du Commandant Schloesing, 75016 Paris, France"
"2023/02/22 17:42:08,577",60325,"90-102 Esplanade Du Général De Gaulle 92400 Courbevoie"
"2023/02/22 18:26:20,008",55921,"8 Rue Victor Hugo, 93500 Pantin, France"
"2023/02/22 18:37:38,612",58382,"Place Nelson Mandela, 94120 Fontenay-sous-Bois, France"
"2023/02/22 19:46:43,508",55252,"91 Avenue De France 75013 Paris"
"2023/02/22 19:56:09,626",18321,"2 Place André Malraux, 75001 Paris, France"
"2023/02/22 19:54:48,979",60541,"4 Place André Malraux, 75001 Paris, France"
"2023/02/22 20:30:57,814",57588,"54 Rue Damrémont 75018 Paris"
"2023/02/22 20:41:01,639",63511,"Montreuil - Voltaire"
"2023/02/22 21:11:23,137",17959,"6 Rue Du Bailly, 93210 Saint-Denis, France"
"2023/02/22 21:22:49,672",32233,"55 Boulevard Du Général Gallieni, 94360 Bry-sur-Marne, France"
"2023/02/22 21:21:21,501",42699,"31 Avenue De Ségur, 75007 Paris, France"
"2023/02/22 22:30:39,904",58096,"Lagny - Joffre"
"2023/02/22 23:30:36,190",2141,"6 Avenue Du Président Wilson, 75008 Paris, France"
"2023/02/22 23:35:53,143",26758,"Rue Des Bourdonnais, 75001 Paris, France"
"2023/02/23 07:36:36,967",55252,"99 Avenue De France 75013 Paris"
"2023/02/23 08:40:45,968",67221,"25 Rue De Belfort 92600 Asnières-sur-Seine"
"2023/02/23 08:56:34,847",61299,"103 Rue Louis Rouquier, 92300 Levallois-Perret, France"
"2023/02/23 11:41:31,085",61902,"29 Rue La Boétie, 75008 Paris, France"
"2023/02/23 12:00:36,524",20933,"99 Rue La Boétie, 75008 Paris, France"
"2023/02/23 15:26:30,869",23161,"64 Avenue Victor Cresson 92130 Issy-les-Moulineaux"
"2023/02/23 18:03:59,858",60385,"66 Rue Gabriel Péri, 94200 Ivry-sur-Seine, France"
"2023/02/23 18:39:51,632",56555,"D 7 92400 Courbevoie"
"2023/02/23 19:02:38,708",38696,"29 Rue De Paris 92110 Clichy"
"2023/02/23 19:19:33,564",334,"83 Rue Desnouettes, 75015 Paris, France"
"2023/02/23 19:27:09,389",27054,"20 Rue Dominique Pado, 75015 Paris, France"
"2023/02/23 19:48:03,373",38559,"D 7 92400 Courbevoie"
"2023/02/23 19:47:20,096",56555,"D 7 92400 Courbevoie"
"2023/02/23 19:56:38,614",44842,"53 Avenue Paul Vaillant-Couturier 94250 Gentilly"
"2023/02/23 20:57:03,542",56145,"33 Boulevard Soult, 75012 Paris, France"
"2023/02/23 21:03:29,235",40609,"19 Rue Des Malmaisons 75013 Paris"
"2023/02/23 21:36:34,557",11444,"178 Avenue Jean Jaurès 75019 Paris"
"2023/02/23 22:20:55,330",25414,"Rue Lagrange 75005 Paris"
"2023/02/24 00:19:46,603",24015,"80 Rue Alexandre Dumas 75020 Paris"
"2023/02/24 05:19:58,519",58031,"Avenue De La Porte D'auteuil, 75016 Paris, France"
"2023/02/24 08:27:44,118",18588,"14 Rue De Dunkerque 75010 Paris"
"2023/02/24 08:49:38,409",33068,"20 Rue De La Galiote, 92130 Issy-les-Moulineaux, France"
"2023/02/24 09:07:39,802",13524,"13 Boulevard De Grenelle 75015 Paris"
"2023/02/24 09:13:53,692",36373,"4 Place De La Gare, 94140 Alfortville, France"
"2023/02/24 09:34:26,724",44854,"151 Rue De Bercy 75012 Paris"
"2023/02/24 10:16:06,197",18447,"59 Rue De Paris, 92110 Clichy, France"
"2023/02/24 10:42:37,051",57823,"31 Rue Duméril, 75013 Paris, France"
"2023/02/24 12:36:42,545",5412,"4 Sente De Villiers 94140 Alfortville"
"2023/02/24 12:30:54,451",25452,"20 Rue Du Croissant 75002 Paris"
"2023/02/24 12:40:37,397",36289,"44 Avenue De Verdun, 94200 Ivry-sur-Seine, France"
"2023/02/24 14:14:44,738",38559,"192 Avenue Charles De Gaulle 92200 Neuilly-sur-Seine"
"2023/02/24 15:00:58,181",39131,"11 Quai De Conti, 75001 Paris, France"
"2023/02/24 15:17:44,435",38986,"29 Rue De Paris 92110 Clichy"
"2023/02/24 15:10:51,896",58479,"221 Rue De Bercy, 75012 Paris, France"
"2023/02/24 16:52:39,403",62713,"21 Rue Karl Liebknecht 94800 Villejuif"
"2023/02/24 17:34:54,947",51001,"2 Rue Joseph Chailley 75012 Paris"
"2023/02/24 17:51:14,008",52263,"159 Rue De Bercy, 75012 Paris, France"
"2023/02/24 17:55:20,673",61485,"31 Avenue De Saint-Mandé, 75012 Paris, France"
"2023/02/24 19:39:23,110",45645,"25 Rue Ernest Renan, 92130 Issy-les-Moulineaux, France"
"2023/02/24 20:26:25,745",23201,"15 Rue Villeneuve 92110 Clichy"
"2023/02/24 22:57:29,135",50868,"Souterrain Grande Boucle (Voie Bcl), 75001 Paris, France"
"2023/02/24 23:25:49,763",63057,"12 Rue Henri Martin 94200 Ivry-sur-Seine"
"2023/02/24 23:30:00,034",15149,"Place Ginette Hamelin"
"2023/02/25 02:09:11,291",18549,"Rue De Bercy, 75012 Paris, France"
"2023/02/25 08:51:47,429",334,"27 Boulevard Victor, 75015 Paris, France"
"2023/02/25 09:18:16,053",62952,"111 Avenue Du Révérend Père Corentin Cloarec 92270 Bois-Colombes"
"2023/02/25 09:22:27,644",67719,"36 Rue D'assas 75006 Paris"
"2023/02/25 10:41:51,822",61941,"99 Avenue Édouard Vaillant 92100 Boulogne-Billancourt"
"2023/02/25 11:27:47,334",62173,"18 Rue Adolphe Lalyre, 92400 Courbevoie, France"
"2023/02/25 12:19:59,512",20542,"3 Rue Rossini, 92220 Bagneux, France"
"2023/02/25 12:13:42,770",52320,"29 Rue Bichat 75010 Paris"
"2023/02/25 12:39:01,752",42775,"31 Quai Voltaire 75007 Paris"
"2023/02/25 13:37:18,224",63052,"12 Rue Dupetit-Thouars, 75003 Paris, France"
"2023/02/25 14:02:01,507",63662,"30 Rue Des Fillettes, 93300 Aubervilliers, France"
"2023/02/25 14:17:30,320",62931,"4 Rue Godefroy Cavaignac, 75011 Paris, France"
"2023/02/25 14:54:46,354",7669,"19 Rue De L'amiral Mouchez, 75013 Paris, France"
"2023/02/25 16:16:45,410",22550,"5 Rue Berteaux-Dumas 92200 Neuilly-sur-Seine"
"2023/02/25 16:54:54,566",16850,"29 Rue Ernest Renan 92130 Issy-les-Moulineaux"
"2023/02/25 18:10:57,904",32202,"125 Boulevard Vincent Auriol, 75013 Paris, France"
"2023/02/25 20:13:41,647",57224,"Place Lucien Herr, 75005 Paris, France"
"2023/02/25 20:30:30,226",52094,"7 Avenue Émile Zola, 75015 Paris, France"
"2023/02/25 22:26:37,011",57925,"7s Cité Dupetit-Thouars, 75003 Paris, France"
"2023/02/26 00:31:00,540",44842,"57 Avenue Paul Vaillant-Couturier, 94250 Gentilly, France"
"2023/02/26 00:43:07,281",57190,"3 Avenue Jean Jaurès, 75019 Paris, France"
"2023/02/26 02:28:32,573",19297,"Avenue De La République, 94300 Vincennes, France"
"2023/02/26 02:23:27,061",57224,"Place Lucien Herr, 75005 Paris, France"
"2023/02/26 12:42:20,453",24402,"106 Rue Petit 75019 Paris"
"2023/02/26 13:03:27,298",61062,"168 Rue Du Faubourg Poissonnière, 75010 Paris, France"
"2023/02/26 13:26:43,333",55665,"20 Rue Des Tanneries, 75013 Paris, France"
"2023/02/26 13:51:53,121",60184,"4 Rue De La Cour Des Noues, 75020 Paris, France"
"2023/02/26 14:04:59,651",67673,"74 Rond-Point Du Pont De Sèvres, 92100 Boulogne-Billancourt, France"
"2023/02/26 15:26:27,076",60277,"3 Quai De L'oise 75019 Paris"
"2023/02/26 16:03:10,569",26458,"95 Rue De La Tombe Issoire, 75014 Paris, France"
"2023/02/26 16:56:02,034",55622,"116 Boulevard Macdonald, 75019 Paris, France"
"2023/02/26 17:09:43,429",61792,"22 Rue Voltaire 92300 Levallois-Perret"
"2023/02/26 17:22:18,985",12074,"147 Rue De Fleury 92140 Clamart"
"2023/02/26 17:44:05,595",13530,"18 Rue De Buci, 75006 Paris, France"
"2023/02/26 17:48:09,179",23081,"11 Quai De Conti, 75001 Paris, France"
"2023/02/26 17:40:15,684",57514,"27 Avenue De Bourgogne 94100 Saint-Maur-des-Fossés"
"2023/02/26 17:50:40,845",20698,"110b Avenue Félix Faure, 75015 Paris, France"
"2023/02/26 18:22:17,599",57224,"Place Lucien Herr, 75005 Paris, France"
"2023/02/26 18:21:35,622",62673,"35 Quai De L'aisne, 93500 Pantin, France"
"2023/02/26 18:49:37,652",19413,"Avenue De Fontainebleau, 94270 Le Kremlin-Bicêtre, France"
"2023/02/26 19:03:57,659",63539,"61 Rue Duhesme, 75018 Paris, France"
"2023/02/26 19:18:52,425",50251,"16 Avenue Charles De Gaulle, 92200 Neuilly-sur-Seine, France"
"2023/02/26 21:07:59,301",16446,"86 Rue Leblanc, 75015 Paris, France"
"2023/02/26 21:09:49,157",38267,"1 Boulevard Victor, 75015 Paris, France"
"2023/02/26 21:54:20,582",50431,"1 Impasse Du Bureau 75011 Paris"
"2023/02/26 22:33:42,799",62665,"5 Rue Cernuschi, 75017 Paris, France"
"2023/02/26 23:13:55,186",61846,"8 Rue Henri Dunant, 94500 Champigny-sur-Marne, France"
"2023/02/27 07:30:48,957",50215,"75 Rue Adolphe Guyot, 92270 Bois-Colombes, France"
"2023/02/27 08:05:09,982",11545,"2 Rue Fresnel, 75116 Paris, France"
"2023/02/27 08:05:08,042",11545,"3 Rue Fresnel, 75116 Paris, France"
"2023/02/27 08:33:20,926",55114,"33 Quai Du Lot, 75019 Paris, France"
"2023/02/27 08:57:54,360",61639,"5 Rue Anselme, 93400 Saint-Ouen-sur-Seine, France"
"2023/02/27 10:26:46,898",36226,"75 Rue Jouffroy D'abbans, 75017 Paris, France"
"2023/02/27 11:33:15,058",43242,"131 Rue De L'ouest, 75014 Paris, France"
"2023/02/27 14:39:09,431",55642,"2 Rue Alfred Stevens, 75009 Paris, France"
"2023/02/27 14:59:54,442",45242,"17 Rue Du Faubourg Montmartre, 75009 Paris, France"
"2023/02/27 15:39:56,833",23471,"28 Boulevard De Bonne Nouvelle, 75010 Paris, France"
"2023/02/27 15:40:00,323",23471,"28 Boulevard De Bonne Nouvelle, 75010 Paris, France"
"2023/02/27 15:42:49,446",52668,"20 Boulevard De Bonne Nouvelle, 75010 Paris, France"
"2023/02/27 16:45:46,935",39820,"5 Rue De Palestro 75002 Paris"
"2023/02/27 17:02:15,835",39171,"66 Rue Du Faubourg Montmartre, 75009 Paris, France"
"2023/02/27 17:19:46,332",56726,"16 Rue Du Château, 92250 La Garenne-Colombes, France"
"2023/02/27 17:30:24,639",55145,"9 Avenue Paul Doumer, 94110 Arcueil, France"
"2023/02/27 17:48:31,043",34522,"24z Rue Alice Domon Et Léonie Duquet 75013 Paris"
"2023/02/27 17:44:48,509",56407,"1 Rue Yitzhak Rabin, 94270 Le Kremlin-Bicêtre, France"
"2023/02/27 18:10:35,997",60502,"104 Rue De L'abbé Jean Glatz, 92270 Bois-Colombes, France"
"2023/02/27 18:27:19,475",41786,"6 Rue De Tilsitt, 75008 Paris, France"
"2023/02/27 21:27:09,695",50402,"22 Rue Du Panorama, 92320 Châtillon, France"
"2023/02/27 23:29:47,933",24703,"30 Rue Cesária Évora 75019 Paris"
"2023/02/28 02:24:01,738",62934,"122 Avenue Parmentier 75011 Paris"
"2023/02/28 10:15:15,898",17321,"63 Rue Des Couronnes 75020 Paris"
"2023/02/28 10:30:33,462",4371,"3 Rue Du Château, 93170 Bagnolet, France"
"2023/02/28 10:34:36,442",14032,"26 Avenue Du Général De Gaulle, 93170 Bagnolet, France"
"2023/02/28 10:33:56,332",59033,"26 Avenue Du Général De Gaulle, 93170 Bagnolet, France"
"2023/02/28 10:48:45,020",62082,"1 Place Jean-Spire-Lemaître 94300 Vincennes"
"2023/02/28 11:35:10,747",56978,"7 Rue Jean Poulmarch, 93260 Les Lilas, France"
"2023/02/28 12:20:13,532",60325,"Parvis De La Défense, 92800 Puteaux, France"
"2023/02/28 13:24:59,218",62311,"152 Rue De Rennes, 75006 Paris, France"
"2023/02/28 13:40:18,449",56502,"1 Passage De La Boule Blanche, 75012 Paris, France"
"2023/02/28 14:18:03,088",35440,"8 Avenue Du 11 Novembre 1918, 94500 Champigny-sur-Marne, France"
"2023/02/28 15:55:28,742",67273,"44 Boulevard Charles De Gaulle, 92390 Villeneuve-la-Garenne, France"
"2023/02/28 16:31:44,332",15079,"3 Rue Louis Rousseau, 94200 Ivry-sur-Seine, France"
"2023/02/28 16:32:14,766",52506,"3 Rue Louis Rousseau, 94200 Ivry-sur-Seine, France"
"2023/02/28 16:32:01,707",62672,"3 Rue Louis Rousseau, 94200 Ivry-sur-Seine, France"
"2023/02/28 17:07:18,355",34906,"15 Rue De Lesseps, 92200 Neuilly-sur-Seine, France"
"2023/02/28 18:32:51,593",58407,"20 Rue Bénard, 75014 Paris, France"
"2023/02/28 21:00:47,310",52291,"3 Avenue Saint-Joseph 92600 Asnières-sur-Seine"
"2023/02/28 23:08:44,199",52865,"40 Rue De La Fédération, 93100 Montreuil, France"
"2023/02/28 23:10:41,466",60010,"Galerie De La Villette, 75019 Paris, France"
"2023/02/28 23:51:49,985",31230,"84 Rue Réaumur, 75002 Paris, France"
